Good,Bad
-99.4375,-69.6875
-110.375,-60.6875
-122.5625,-53
-133.875,-46
-138.875,-39.875
-138.25,-35.8125
-136.9375,-33.5625
-137.5625,-31.5
-138,-30
-137.75,-28.5
-137.6875,-26.875
-137.6875,-26.375
-137.4375,-27.1875
-137.3125,-28.8125
-137.3125,-30.75
-135.6875,-33.4375
-128.1875,-37.0625
-115.625,-40.875
-99.0625,-44.5625
-80.3125,-49.5625
-64.5,-56.1875
-53.125,-64.5625
-45.1875,-72.8125
-40.125,-80.6875
-36.1875,-88.75
-32.4375,-96.5
-28.8125,-104.0625
-25.1875,-111.25
-21.6875,-118.75
-18.5625,-125.625
-15.625,-131.0625
-13.0625,-135.8125
-11.5,-140.125
-11.375,-144.8125
-12.1875,-146.3125
-12.8125,-144.3125
-13.0625,-138.75
-13.3125,-126.8125
-14.125,-110.625
-15.75,-91.6875
-18.5625,-72.875
-22.4375,-58.5
-26.75,-49
-30.75,-42.5625
-34.5,-37.6875
-39.5,-34
-44.875,-31.6875
-50.4375,-30.625
-55.625,-29.5625
-60.25,-28.4375
-64.125,-28
-67.9375,-29.125
-72.0625,-32.125
-76.1875,-35.875
-79.5625,-40.4375
-81.875,-46.4375
-83.9375,-53.625
-85.3125,-62.125
-85.3125,-72.1875
-85.3125,-84
-85.25,-94.75
-85.1875,-105.5
-85.1875,-110.5625
-85.1875,-110.8125
-85.1875,-104.875
-85.1875,-99.4375
-85.1875,-96.9375
-85.1875,-95.8125
-85.1875,-94.75
-85.1875,-93.125
-85.1875,-90.875
-85.1875,-89.75
-85.1875,-90
-85.1875,-91.1875
-85.1875,-91.75
-85.3125,-91.75
-86.25,-91.9375
-89,-91.8125
-92.375,-91.5625
-94.5625,-91.8125
-97.1875,-92.125
-102.375,-92.6875
-109.3125,-92.875
-116.75,-93.125
-117.125,-93.6875
-116.5625,-94.375
-116.375,-94.8125
-115.8125,-95.3125
-114.1875,-96.25
-109.25,-98.5
-102.4375,-100.75
-93,-102.125
-79.3125,-102.9375
-64.6875,-103.4375
-52.625,-103.8125
-42,-103.875
-31.8125,-104.125
-23.625,-104.4375
-17.9375,-104.8125
-14.4375,-105.875
-12.4375,-107.4375
-11.8125,-109.625
-12,-111.625
-12.625,-116.5625
-14.25,-123.4375
-17.5,-127.1875
-22.875,-127.125
-31.3125,-123.75
